城市,A1997,A1998,A1999,A2000,A2001,A2002,A2003,A2004,A2005,A2006,A2007,A2008,A2009,A2010,A2011,A2012,A2013,A2014,A2015,A2016,A2017,B2005,B2010,B2015,B2020
上海,10914.974401666828,10584.930214074468,10955.278230730957,11624.947333397722,11034.361468788846,12046.445668776598,13941.599207282887,15191.875319569303,17076.05793481303,19053.24019717385,19487.44875982232,19978.515380338547,21903.029913233247,23071.171553073735,22074.464050030678,22667.60942404152,20080.74495442519,20466.29762675499,18998.089319176375,19695.08133570394,19250.367676363276,17255,22228,22178,20381
云南临沧,132.07577018557512,133.14991894358747,154.741041357867,170.7984813106103,183.9985507849471,224.744248166617,281.8235577517719,311.5975404378331,371.6646484353701,419.8097272670098,434.7998337574384,476.5195062422671,522.5292069416203,574.3744817282654,653.280310747114,684.3625791182556,714.9671493764392,722.1315082264341,659.7654684410701,674.8066356311406,723.8550028769773,177,288,306,749
云南丽江,197.4813259096864,186.83114519020563,195.5530874795611,205.91111205001195,201.20695288821182,216.92210352530844,264.3784530685504,297.9563282944473,364.75302310089893,417.16657948930293,453.2792373455418,499.9489504691927,557.2499129453413,628.4736344007188,748.752655858514,763.0074445640879,805.0044598717419,816.2123937070604,751.0222720150629,768.4503312483812,827.8220603112464,261,558,488,470
云南保山,251.9913602042978,255.5782196749754,294.9976984995198,329.64951084151403,330.9399951131335,370.5167909314626,429.0215090851309,470.00023662008107,566.207127195814,652.5091792935328,684.9904256697159,738.0381525859443,815.6695087335731,910.7966429159352,1045.0642892527733,1069.344420449557,1131.866688955683,1164.609090378862,1081.323874492241,1126.914673600266,1248.5655187986108,243,314,565,895
云南大理,469.22081870495265,455.13488716342636,541.2600312964994,600.8352037526296,591.8920788193885,661.2004679926616,774.3627398419696,845.2343676972548,986.0083270069531,1115.2649355688723,1229.72217810572,1330.276515301146,1480.6813453292602,1662.999558029419,1887.5787878984768,1912.9654770911316,2006.7468132995843,2096.5356416607165,1940.1784723140504,2002.35045431089,2173.3946294330135,700,830,1019,1701
云南德宏,224.2012951296504,220.61960094761378,242.32847412789238,264.2604633765318,256.1756575249321,289.2387338237283,343.732595320518,379.8875987664826,448.82249310928466,507.3204571785426,570.2743947288955,634.8547949350607,702.8678571883736,780.4006478163334,880.829750708052,916.4646820127975,965.0798105118739,1011.3005139949214,925.9662486752542,957.7588861345399,1036.5500023125576,116,147,186,526
云南怒江,19.92648190008243,19.52709456109953,23.78385930320789,25.26850280594271,24.784344740862473,30.524425891571333,35.21818358161519,39.07568897230962,49.304182903663424,57.92386641533681,65.64294807907677,71.80197284466516,79.79956242728157,89.08705743597194,103.10381701942359,103.52982286994748,109.52239121565763,114.46392805605474,105.30143310856997,107.80592557814317,116.18316491427602,22,52,66,164
云南文山,135.33469847029164,148.78622162959155,161.35770823590738,173.71737970948473,185.63049639689888,214.17115390012356,256.16347986946863,285.4742831928025,343.8674849648556,391.3702767595863,421.26880379681563,452.36522024671865,497.07509738972783,559.5101777990926,630.3858950230455,660.7376195384004,690.9355498213354,691.2057234547469,626.4664836361853,637.956640916387,685.9426121371196,335,527,827,1430
云南昆明,1645.353444442936,1564.8589397188584,1614.7030277731944,1689.5413815563527,1600.8988417732703,1706.3946013431973,1934.8760735000978,2100.192285844066,2392.947819819784,2656.3840061134642,2782.772320991303,2950.447100299961,3275.6605597878574,3637.235911785123,4036.206545892075,4204.140307100672,4353.075283375561,4517.917565293262,4192.595108371417,4342.210646181127,4753.729576466561,2630,4712,3482,2746
云南昭通,97.80027568860659,104.99287247908057,126.00858245679703,138.63336562105235,133.26229045889875,146.30050279392162,176.49698122209887,199.3263326124054,238.87481128726773,283.55443485031765,323.28689943855596,344.4064344731492,377.63122382642604,416.37335076019804,483.9405806501276,519.1453617897947,556.596743299338,559.0878063506431,516.7076658468383,532.2417118837302,590.2797752282104,262,521,1301,1891
云南普洱,150.54303046563516,150.9802771982544,160.14835945777833,176.50750317899698,177.12580422404406,203.90372070309516,241.74823222165006,278.82167234454977,330.75987942591394,383.2359382498972,413.0146701941284,442.7077696236095,486.25245591967257,536.1272943756264,605.1494068858254,625.6676795398582,655.0775887734615,652.8179486490136,594.7200845629166,604.3087166093895,649.6781888110564,410,474,520,1054
云南曲靖,848.7481484991999,813.321772266201,861.5011479693833,930.3416313392977,933.7913184485556,1023.0475994993005,1198.3865466006628,1327.599052762573,1540.9534597885622,1719.8491330635097,1800.5304222716047,1886.8270803494916,2060.5287478676587,2255.349477067381,2456.176075886912,2512.094452036285,2596.657632108305,2621.58384700839,2405.7284886048083,2465.62725243153,2660.990901358978,4829,7746,5079,5472
云南楚雄,343.93853583925875,324.9396297189716,333.18253865493307,352.37113171118307,338.2107771891466,368.5716750348671,438.876353360074,476.30005749910725,543.814967733455,612.7185360043276,641.9334153094325,690.1985958568982,769.3597510269378,853.2406753762325,979.5388925252694,1015.6632622931053,1054.6029313770566,1061.4800993386098,972.0030226600397,996.3602039878225,1080.1705237073834,600,722,629,837
云南玉溪,523.1309507779993,517.6800979074424,547.5013830364995,587.6715443067258,587.354473947132,658.9496910266014,763.4771194621987,837.1201984050698,967.0437310619612,1096.906327748518,1136.5038533390616,1192.1515206275758,1306.2649559727747,1415.0471659085708,1529.2153932658819,1548.5111006392171,1601.5653847646645,1675.766306674401,1543.0246702803552,1594.535484796104,1739.204739985618,1953,1495,1955,2815
云南红河,792.5519025547853,761.8784826996197,794.0695281681782,833.960750874501,796.1373694729411,850.6825436910003,981.439412173959,1077.7733559838912,1251.343175337632,1404.9662257161826,1457.388430311164,1524.1503695319623,1662.6689388042828,1809.321593053136,1951.8936752888483,1960.6616454873529,2023.6338832572253,2050.8014704438215,1886.3940674961816,1936.3374122099472,2099.3512935882713,3056,3392,3061,3578
云南西双版纳,196.930064408789,189.17147113011322,199.6815539980023,211.4770506635517,198.5135792359662,212.740104347628,244.8561783559032,269.8339278904724,314.9403554996049,358.4641114030128,374.1052593058423,395.1666771522303,437.5505693044198,489.0652291115019,575.7813977501241,586.6602462780066,606.283699136242,599.1529898405796,540.2436237214354,547.3825263681239,585.0257344369086,121,221,229,351
云南迪庆,31.097634080031074,33.26188242092915,36.113656615858694,39.40512838480531,37.455141971870916,44.43200455222805,59.62883588230896,66.92929701877976,79.24828176417724,94.00590700868956,107.18054081100429,118.12788940982472,138.9060485673959,167.9518194787922,205.54974852953498,212.09963711693098,222.8064855148271,221.9367836318841,201.3501567715721,205.0764319044868,221.22338020120793,69,47,101,238
内蒙古乌兰察布,585.1173973748897,402.4642668942801,477.3185177636347,501.6197947469346,570.7542452751138,600.1598949847446,798.2010875068975,1037.7945885492056,1596.2952728779323,1817.1132484156828,2022.507968230151,2306.269440629203,2421.3095792872955,2824.022282062124,3557.563863136736,3760.696538699114,3802.668681619953,3856.497697016402,3708.579439496836,3741.327191149332,3773.885866285219,1986,3733,5326,6562
内蒙古乌海,828.0974463611029,551.4488047752741,636.980552139988,632.560468997081,703.588870896726,713.648056016007,900.228529536308,1130.859715130306,1596.074005686756,1742.9720479667621,1862.455182316475,2090.9032366733923,2169.613694158073,2425.0593613532947,2775.785344282375,2681.558062928576,2672.131690309729,2727.770576207222,2613.4330098969285,2647.59146737284,2654.572621932829,3431,3457,4575,5018
内蒙古兴安,341.5418090529257,241.6911148986898,299.924492334923,324.6591233150491,367.0467004700587,382.5997076007758,467.3231554663817,552.1899660941497,794.0910712673972,871.8624758295942,1004.513821161997,1197.452879409643,1321.342951230734,1550.2832342240122,1875.6556625798669,1889.479925505608,1946.5512588565289,1961.649715011468,1899.859528228419,1932.813058087396,1937.999261002337,439,819,1183,1899
内蒙古包头,1731.456176277679,1149.6269564846887,1334.068292340426,1325.635135002279,1452.3093626904415,1457.225968688856,1749.7787263846922,2087.458506939754,2988.47156189551,3352.4027568031875,3734.5928278225183,4276.970453055332,4469.403242834468,5022.6733725179565,5830.446880413058,5626.187975619232,5606.897837772579,5710.51437256398,5530.17617754753,5647.804053014806,5689.911382345564,3893,7035,7845,12151
内蒙古呼伦贝尔,1849.47222131224,1277.9282809746105,1530.6766069240953,1556.0454501264044,1726.5325842971688,1815.6918857269452,2217.032491162775,2625.8896310429327,3790.8970306972215,4278.791310568488,4847.867420846579,5693.659507178171,6062.268268032651,7002.564043591508,8297.077359712384,8230.169900043427,8262.322646635097,8311.423991915743,7995.563293844249,8075.446458552924,8067.28073833925,2711,4979,8339,6763
内蒙古呼和浩特,1694.4334809051893,1144.9017006190609,1334.4203381397924,1425.9262355641524,1622.336889614146,1653.0855263619494,2025.7454937510252,2404.5239682171996,3448.191029429961,3947.236300330046,4377.600200070753,4970.674367853899,5175.747487614979,5743.430267744202,6677.829191059392,6610.517532302499,6620.372618805908,6801.864953026871,6626.991747123529,6923.958393731143,7134.804267051346,3718,6042,6175,7584
内蒙古巴彦淖尔,564.2487064846321,391.4604703629034,480.2275277899883,485.0445637112266,548.7838387962364,557.1740532693991,692.6347203742232,832.4764725717442,1245.107362615571,1459.4839945132153,1706.6593414257973,2003.385946172188,2105.879750526888,2429.679938310384,2903.568554118945,2861.214094387429,2901.067284202427,2910.884961811633,2779.673827529162,2795.053084790554,2783.817976243055,1489,1994,1837,2771
