城市,县,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
安徽合肥,瑶海区,163.006818790796,153.868857472956,162.40003227184,170.894253943586,162.672648794071,176.934507265522,203.26683008674902,222.480154806876,263.354872767781,298.277900396953,318.470892175119,337.132302857927,367.185090856352,399.019768593349,432.96861959483897,434.872257758184,426.031066411823,418.091262086394,376.164346291365,375.569863796201,353.052061357838
安徽合肥,庐阳区,119.205284953646,110.741308525153,117.004265740377,126.497324144528,122.026301938434,131.547684650034,153.391464865215,167.867045311478,192.554995277228,229.090017338982,243.152455810946,255.024556830169,277.758061972924,299.001351689401,317.164205727021,318.418989432825,311.954849760696,314.42845669088297,288.324708626151,295.861640521992,290.848746784512
安徽合肥,蜀山区,181.829690657593,169.276494246209,173.469184896808,184.592934885303,177.018418272531,217.764122385741,263.681021953575,289.22192570271,330.563077641113,379.521673719695,399.784405873212,418.013688525384,455.276438654039,488.87315944213697,519.569554249415,521.8322340744791,511.180560630595,496.342525166358,445.893503959638,443.78081369225504,416.30561095502003
安徽合肥,包河区,155.784524018844,145.931590044311,147.728596170185,154.958305163999,147.47171787468,160.298847384417,187.763606059642,207.52981608251102,244.31125608510297,269.501136688032,289.339882594806,312.37150320232996,342.34778304769,368.456696942551,414.50913643782695,416.054451813751,409.121695578204,414.043351650098,379.226404449064,382.795376356908,368.267407490371
安徽合肥,长丰县,148.824177761936,147.124774036852,152.030352166618,162.000197375002,155.88371408954401,168.35732405288098,206.316989495067,227.941465756416,275.370180444097,334.78279889098303,384.107137915497,441.34373442729606,480.813388936185,527.59544933119,598.238679734963,648.1648505206649,658.3310812393049,695.616749669733,667.377320204876,709.734995082666,708.1446055969279
安徽合肥,肥东县,195.525855872798,196.529508336721,204.176028513622,217.546789841481,208.90372342721002,230.13897851110698,272.20043271474,300.918233319641,356.247412759949,403.268124241216,445.549644112429,483.623967801476,527.148801839156,577.332683841889,661.404723662863,669.153941766379,666.980738437215,695.475207159981,647.204509765568,680.543126888434,678.880259527097
安徽合肥,肥西县,188.415824750151,183.421776940396,189.801868232858,204.17819759715502,196.704583688228,228.82368691694398,270.685870801644,298.460643392348,352.164792087136,401.919213442361,468.178950105253,531.247628459823,581.625508979025,702.54268705645,801.833799632711,818.465994317787,827.885631967192,880.0378284383161,900.126531713928,1024.97332347947,1131.3136094434099
安徽芜湖,镜湖区,70.7822308867746,66.17848028197379,66.9220333266213,70.1805247174701,66.78985376407121,70.896069448765,80.52420837960011,87.1534205697386,98.96479225869321,107.631840825356,107.79880839864799,111.832385236953,121.80139424734399,130.207524385493,138.08558689718,138.600378398423,135.771258475394,138.165240857275,129.613802781323,133.124186371486,125.78036994932
安徽芜湖,弋江区,77.03157403141721,71.2106040766052,72.0106959077676,75.59031170248551,72.2175110728317,79.0471722858323,97.01610476664459,113.64077867500599,129.636126047484,142.506805437436,150.60872682537,181.764124830296,197.998819995812,227.030247479457,252.159424219028,253.099489952629,247.933206730262,249.99496181716,235.209320226834,243.082874147958,231.735458429789
安徽芜湖,鸠江区,127.288267703602,125.42265938990201,133.983961157192,148.48489904294598,145.447254055336,173.78521753301902,208.189156304311,228.94270609716497,265.525379960922,296.39504574021703,312.61654435608,346.651195178357,378.63378587699003,435.566266952201,502.804593960332,506.09041564019304,496.36270526696194,487.772808609546,461.77442782271,473.36261874536103,451.151168394082
